dataset,journal,year,embargoLgth,dataType,format,noFiles,fileExt,fileExtReuse,readme,analysisPgrm,analysisCode,codeArchived,complScore,reuseScore,suppMat,notes
36,Biology Letters,2012,0,meas/obs/gen,"table, tree",2,".nex, .csv",1,1,R,1,0,5,5,0,"The readme files are excellent. Column headings (fields) and abbreviations are clearly explained in a .csv document and details are provided on the phylogenetic tree (archived as nexus file). Data are archived for the 44 species examined (one row per species), which are the data necessary to replicate the analyses. Data are at the level of the species, calculated from means per individual in a species (explained in readme file and methods) but are highly reusable. The phylogenetic tree is archived as a nexus file. Variables used directly in the analyses are also archived (i.e. principal components for song variation and complexity). The raw data are not archived: the study analyzed 5 songs per bird for 429 individuals and 19 bioclimatic variables used in a discriminant analysis but the archived data are highly reusable."
37,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.xlsx,0,0,R,1,0,4,3,0,"The metadat are very limited and there is no explanation of column headings although they can be understood from reading the paper. All the data necessary to reproduce the analyses are archived (over 4000 replicate vials). Some raw data are not archived: ""The number, genotype and species of surviving adults were then recorded on days 11 and 15 after the initial set-up."" - only one of these timelines is archived."
38,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.xls,0,1,R,1,0,5,3,1,"There is an excellent, detailed readme file. The column headings are clearly explained. All the data necessary to reproduce the analyses are properly archived. Raw data not archived: seasonality data from 2001-2008. Summary information on geographical locations and season lengths are archived as a Word table in the supplementary material."
39,Evolution,2012,0,meas/obs,table,3,".pdf, .docx, .xlsx",0,0,R,1,0,4,3,0,There is a limited description of the archived data in the box provided on the Dryad website. Column headings are not defined but the data are understandable from reading the paper. Data for the statistical analyses (Fisher's exact test; no successes vs. no failures) are not provided but can be calculated from archived percentages and sample sizes. Data for neighbor joining tree of behavioral chord distances between fly populations (Fig. 3) are not archived but can presumably be calculated from data archived in Table S2. Data were archived on Dryad and as supplementary material. Table S1 is archived as a Word document and the format of table S2 in Excel does not facilitate reuse.
40,Journal of Evolutionary Biology,2012,1,meas/obs,table,1,.txt,1,1,SAS,1,0,3,5,0,The column headings are clearly explained in the readme file. Small omissions: data are not archived to show that 1) body mass of focal nestlings was larger than that of nestmates and 2) variation in begging behaviour between the two trials is not due to age or repeated testing effects (tested by re-analysing the data set of a previous experiment).
41,Evolutionary Applications,2012,0,meas/obs,table,1,.xlsx,0,0,R; STRUCTURE,1,0,2,1,1,"The column headings are explained in the second Excel tab. The readme file (description in box provided on Dryad website) poorly describes the data and what experiment they correspond to. Data are archived for the local adaptation experiment only.  Important data not archived: Climate, soil and environmental distance (Euclidean distance) between populations based on varimax rotated factor scores from Principle Components Analysis (PCA) (Figs S1, S2); Environmental matrix of soil and bioclimatic variables; Elevation; quantitative genetic distance matrix (QST) and variables used to estimate it; molecular genetic distance (FST)."
42,Science,2012,-1,meas/obs,table,1,.xlsx,0,0,not specified,NA,0,2,1,1,"The data description in the Dryad box is very limited (one sentence). The column headings are not described in the Excel spreadsheet. Abbreviations are also not defined and units are not provided. Data are archived for the field experiment presented in the study. There are no data archived for the other two components of the study: the meta-analysis and the field study (Fig S2). However, Table S1 with data for the meta-analysis is included in the supplementary material pdf and includes sea surface temperature data used in the study."
43,Journal of Evolutionary Biology,2012,1,meas/obs,table,7,.pdf,0,1,SPSS,1,0,5,2,0,The readme file is excellent. The column headings and units are clearly explained and neatly organized following the different subheadings in the methods section. All the data for the study are archived. Archived files are in pdf format rather than an easily re-usable format such as .csv or .txt.
44,Evolutionary Applications,2012,0,meas/obs/gen,table,25,.txt,1,1,"SigmaStat, R",1,0,5,4,1,The data are well described in the box provided on the Dryad website. Column headings and units are explained in the text files. The data are clearly organized by experiment and figures. All the necessary data to reproduce the analyses for the two experiments are archived. Summary data for standard length and wet weight for zebrafish in each treatment group are archived as .pdf document in the supplementary material.
45,Evolution,2012,0,meas/obs,"video, table",3,".avi, .xls (as supp info)",0,0,R,1,0,2,1,1,"There are no archived data associated with this paper on Dryad, only two videos (.avi) files. The readme files descibe the content of the two videos. The .xls file included as supplementary information on the Evolution website has the morphological measurements for the two Uca species but the column headings and units are not specified. Important data on fights between crabs (and raw data on the number of pucture wounds on collected claws) are not archived or included as supplementary material."
46,Journal of Evolutionary Biology,2012,0,meas/obs,table,1,.xlsx,0,0,SAS,1,0,3,3,0,The metadata in in the box provided on the Dryad website are limited; the column headings and units are not defined/specified. The data for the main results (Fig 1 a and b) are archived. The author tested for a relationship between infection intensity in rodents and infection intensity in ticks but only one value of infectivity is archived. Values of infection intensity archived appear to be for bank voles and yellow-necked mice. Data to estimate the repeatability of the quantification method for infection intensity are not archived. Raw data: genetic data (including controls) for the qpcr analysis to determine infection intensity are not archived.
47,Journal of Evolutionary Biology,2012,0,meas/obs,table,5,.xlsx,0,0,"SAS, SPSS",1,0,3,3,0,"The authors provide metadata in the Dryad description box. Some column headings, units and the sample sizes could be better explained. The data are relatively clearly organized by experiment. Sample sizes are different between files 1-2 and 3 of experiment 1 and 4 and 5 of experiment 2. This is apparent from the degrees of freedom reported in the paper but not specified in the metadata. There is a discrepancy between sampling days in the paper (days 1 and 15) and the archived files (days 1 and 14). It is difficult to figure out sample sizes from the methods and results section in the paper. Mortality data are archived for experiment 2 but not for experiment 1 (to test for differences among treatments and effect on size and developmental stage on day 21). Tank averages are used in the analyses - the raw data are not archived."
48,The American Naturalist,2012,1,meas/obs,table,4,.txt,1,1,"MS Excel, CERVUS, R",1,0,5,5,0,Excellent metadata provided as a readme file in in the Dryad description boxes. All the data to reproduce the analyses are present. The raw data for paternity tests (not necessary for the statistical analyses) are not provided.
49,Evolution,2012,0,meas/obs,"table, code",8,".sas, .xlsx, .xls",0,0,SAS,1,1,2,1,1,"The metadata (text in Dryad description box) are extremely limited and hard to understand (typos and language issues). The column headings and abbreviations are not defined and the units not specified. There is no explanation for why some rows have data and others do not. There are notes which cannot be understood by the reader in random places in the spreadsheets. The data in the different excel tabs are not labelled nor clearly explained. It is impossible for the reader to assess whether the data are complete, even after reading the paper. The SAS code for the analyses is archived, which is great, but  SAS is not widely available since it has to be purchased. Three data tables archived as Word docs in the supplementary material."
50,Journal of Evolutionary Biology,2012,0,meas/obs,table,5,.txt,1,0,"Cervus, ASReml, R ",1,0,4,4,0,"Good readme file but the text in Dryad data description box could include more detail (e.g. sample size and other useful info in the methods section of the paper - type of transformation used for some variables).  Data contained in dominance_4trait are not well explained in the Dryad data description box. It is somewhat unclear which data sets were used for which analyses. Raw data for genetic determination of parentage (used for construction of the pedigree) are not archived and not available in Weiss et al., 2011."
51,The American Naturalist,2013,0,meas/obs,table,8,.csv,1,1,R,1,0,5,4,0,"The readme files could be more informative (descriptions of column headers for popoulation, some individual identifications and plant parts). The data and transformations are available. Voucher specimen numbers are provided in the methods. GPS coordinates are given for the sites."
52,Biology Letters,2013,-1,meas/obs,table,5,.csv,1,0,not specified,NA,0,3,4,0,"The readme files should be more informative. Data are missing for volume and shape in Table 1. The authors provide 2 references for calculations of egg volume and surface area, but do not give the calculations in the text, or the data for these measures in the archived files."
53,Biology Letters,2013,-1,sound recordings,sound recording,27,.wav,0,0,not specified for stats; Sound analysis pro,NA,0,3,1,1,"There are no metadata associated with the archived files which make them difficult to understand and relate to the paper. There is a supplemental file online with three pdf tables (the summary data from the song analyses). However, there is no information about the sequences used for the iterative comparison process and no information about which unrelated individuals were compared in the analysis outlined at the end of the supplemental information."
54,Biology Letters,2013,-1,meas/obs,table,8,.csv,1,0,"R, SPSS",1,0,1,1,0,"The metadata in the Dryad description box are limited. It is unclear what the column headings refer to. The data are impossible to interpret. Data on survival are missing ) or might be there, but there is no metadata to know which files represent these data)."
55,Science,2013,-1,meas/obs,table,11,.xls,0,1,not specified,NA,0,1,1,0,The readme files are complete. Summary data are presented rather than the original/raw data (although the file names suggest that they should contain raw data). One cannot replicate the analyses or reuse the data. The figures can be redrawn (means and SE are given).
56,Biology Letters,2013,-1,meas/obs,"table, image",2,.xlsx,0,0,JMP,NA,0,4,3,0,The metadata in the Dryad description box are limited; it is necessary to read the paper to understand the abbreviations used in the column headings. The data for the analyses are archived but the raw data are not: there is one mean bib area estimate per observer rather than the measures from all three photos used to get the mean estimate. This does not prevent reanalysis or reuse
57,Journal of Evolutionary Biology,2013,0,meas/obs,table,2,.csv,1,1,R,1,1,2,2,1,"The column headings are explained in the Dryad description box but species abbreviations and more are not provided. Mean data for colour averaged from three locations on 5 different body parts are presented (not the raw measures, but analyses were performed on means).  Data for the phylogenetic analyses are in Newick  format as a .pdf. Alignments are not archived. Data for spectrophotometry are missing."
58,The American Naturalist,2013,0,meas/obs,"table, movie, sound",14,".csv, .wav, .mp4",0,0,R,1,0,4,4,0,"There is no readme file and the very limited text in the Dryad description box lacks some details (units, column heading descriptions). However, the column headings can be understood from reading the paper. All the data necessary to reproduce the analyses are archived. Raw data: some sample videos and songs are uploaded, but not all."
59,Journal of Evolutionary Biology,2013,0,meas/obs,table,3,.csv,1,0,SAS,1,0,4,4,0,The metadata in the Dryad description box are insufficient. The headings in the archived files make interpretation of the columns impossible without reading the text. All the data to reproduce the analyses are archived.
60,Evolution,2013,0,meas/obs,table,1,.xlsx,0,0,"SAS, R",1,0,4,3,0,The metadata in the Dryad description box are mostly complete except for one missing translation (petite and grande). All the necessary data to reproduce the analyses are archived.
61,The American Naturalist,2013,0,meas/obs,table,2,.csv,1,0,R,1,0,4,4,1,"The readme files are good but there is some information missing (units, information on strains). Table 1 in the manuscript has information about parasite lines and collection sites. The data necessary to reproduce the analyses are archived."
62,Biology Letters,2013,-1,meas/obs,table,1,.xlsx,0,0,not specified,NA,0,4,3,0,"There is no metadata: the column headings can be inferred from the paper, but are not specified on Dryad (abbreviations and units are not clear). The data to reproduce the analyses are available."
63,Evolution,2013,0,meas/obs,"table, calculations",3,.xlsx,0,0,not specified,NA,0,4,3,0,There is no metadata in a readme file or in the Dryad description box. The column headings and abbreviations are not clear without reading the test. Data on sex is missing.
64,Evolutionary Applications,2013,0,meas/obs,table,3,.csv,1,0,"SAS, ArcGIS",1,0,4,4,0,"The metadata are incomplete for the environmental data; it is necessary to go to another website or look in the text. The link provided in the Dryad description box doesn't lead directly to the data, only to the home page of the Center for Forest Conservation Genetics website. If this link rots, the data in file 3 will not be re-usable. It is unclear which data fromt he website were used in the analyses: cannot assess whether the data for the analyses is there: analyses could not be easily replicated"
65,Biology Letters,2013,-1,meas/obs,"tables, photos",4,".xlsx, .xls",0,0,not specified,NA,0,3,3,0,"The metadata are extremely limited and make it very difficult to assess the completeness of the data archived. From carefully reading the paper, all the data appear to be present, but the archived spreadhseets are very poorly organized. The files cannot be easily understood by someone else trying to re-use the data. Some cells are highlighted but there is no explanation for why. There are some descriptions in the files themselves, but the data presented in the different worksheets are often unclear. Table S2 (referred to in the text) is not archived or included as supplementary material. Photos of plates are included as supplementary material, but it is not clear which is which."
66,Biology Letters,2013,-1,meas/obs,"tables, figures",1,.xlsx,0,1,not specified,NA,0,2,3,1,"Information is missing on brood ID, individual ID and birth /death date. The rows don't correspond to individuals, and there is no individual ID given: it is not possible to match-up measures to individuals. Sibling pair is random factor, but there is no information on relatedness in the archived data. The archived data are in .xlsx format with multiple worksheets."
67,Science,2013,-1,meas/obs,tables,3,.csv,1,1,Matlab,1,1,2,3,1,"The metadata are complete but lots of data are missing: dietary breadth and pollen analysis (Fig 4 and supplemental figures), branch lengths for tree (supp. Fig S2.). Table S1 includes data not presented in the archived files, Fig S2 has tree not included in the archived files. The data in the supplemental files are archived as pdf."
