No,Journal,Year,Month,Title,Authors,No.authors,Author1F,Author1L,LastF,LastL,PropF,PropL,CountryLast,CountryLast2,Region1,Region2,Subfield,Origin
6,The Auk,2015,October ,Reproductive life-history variation in a secondary cavity-nester across an elevational gradient in Andean temperate ecosystems,"Tom_s A. Altamirano, Jos_ Tom_s Ibarra, Mariano de la Maza, Sergio A. Navarrete, and Cristi_n Bonacic",5,0,1,0,1,0,1,Chile,Chile,S America,Latin America,Ornithology,Based out of LA
18,The Auk,2005,April,"SCYTALOPUS STILESI, A NEW SPECIES OF TAPACULO (RHINOCRYPTIDAE) FROM THE CORDILLERA CENTRAL OF COLOMBIA","Andr_s M. Cuervo, Carlos Daniel Cadena, Niels Krabbe and Luis Miguel Renjifo",4,0,1,0,1,0,0.5,Colombia,Colombia,S America,Latin America,Ornithology,Based out of LA
13,The Auk,2015,April,A new species of tapaculo (Rhinocryptidae: Scytalopus) from the Serranêa de Perij_ of Colombia and Venezuela,"Jorge Enrique Avenda_o, Andr_s M. Cuervo, Juan Pablo L‹pez-O., Natalia Guti_rrez-Pinto, Alexander Cort_s-Diago, and Carlos Daniel Cadena",6,0,1,0,1,0.166666667,0.833333333,Colombia,Colombia,S America,Latin America,Ornithology,Based out of LA
1,The Auk,2015,January,Tropical montane birds have increased nesting success on small river islands,David Ocampo and Gustavo A. Londo_o,2,0,1,0,1,0,1,Colombia,Colombia,S America,Latin America,Ornithology,Based out of LA
13,The Auk,2015,January,"The enigmatic Black Tinamou: Do distribution, climate, and vocalizations reveal more than one species?",Pablo Jose Negret and Oscar Laverde-R,2,0,1,0,1,0,1,Colombia,Colombia,S America,Latin America,Ornithology,Based out of LA
1,The Auk,2015,July,New ecological information for the Black Tinamou (Tinamus osgoodi hershkovitzi),": Pablo Jose Negret, Oscar Garz‹n, Pablo R. Stevenson, and Oscar Laverde-R",4,0,1,0,1,0,1,Colombia,Colombia,S America,Latin America,Ornithology,Based out of LA
19,The Auk,2003,April,GEOGRAPHIC VARIATION OF THE CURVE-BILLED THRASHER (TOXOSTOMA CURVIROSTRE) COMPLEX,Octavio R. Rojas-Soto,1,0,1,0,1,0,1,Mexico,Mexico,C America,Latin America,Ornithology,Based out of LA
29,The Auk,2005,April,"SONG STRUCTURE AND MICROGEOGRAPHIC SONG VARIATION IN WEDGE-TAILED SABREWINGS (CAMPYLOPTERUS CURVIPENNIS) IN VERACRUZ, MEXICO",Clementina Gonz_lez and Juan Francisco Ornelas,2,1,1,0,1,0.5,1,Mexico,Mexico,C America,Latin America,Ornithology,Based out of LA
33,The Auk,2005,July,QUANTIFYING DIFFERENTIAL RESPONSES TO FRUIT ABUNDANCE BY TWO RAINFOREST BIRDS USING LONG-TERM ISOTOPIC MONITORING_,"L. Gerardo Herrera M.,_Keith A. Hobson,_Patricia Hern_ndez C._and_Malinalli Rodrêguez G.",4,0,1,1,1,0.25,0.5,Mexico,Mexico,C America,Latin America,Ornithology,Based out of LA
51,The Auk,2010,October,Comparison of Molecular Markers in the Endangered Black-Capped Vireo (Vireo atricapilla) and Their Interpretation in Conservation_,"Robert M. Zink,_Andrew W. Jones,_C. Craig Farquhar,_Michael C. Westberg_and_Jose I. Gonzalez Rojas",5,0,0,0,1,0,0.2,Mexico,Mexico,C America,Latin America,Ornithology,Based out of LA
46,The Auk,2011,October,Film Documentation of the Probably Extinct Imperial Woodpecker (Campephilus imperlalis)_,"Martjan Lammertink,_Tim W. Gallagher,_Kenneth V. Rosenberg,_John W. Fitzpatrick,_Eric Liner,_Jorge Rojas-Tom__and_Patricia Escalante",7,0,0,1,1,0.142857143,0.142857143,Mexico,Mexico,C America,Latin America,Ornithology,Based out of LA
4,The Auk,2015,July,"Observational field studies reveal wild birds responding to early-life stresses with resilience, plasticity, and intergenerational effects",Hugh Drummond and Sergio Ancona,2,0,1,0,1,0,1,Mexico,Mexico,C America,Latin America,Ornithology,Based out of LA
5,The Auk,2016,January,The effect of salt content on nectar intake of a New World generalist avian nectarivore (Cyanerpes cyaneus: Thraupidae),Carlos A. Mancina and L. Gerardo Herrera M.,2,0,1,0,1,0,1,Mexico,Mexico,C America,Latin America,Ornithology,Based out of LA
17,The Auk,2004,April,PHYLOGENY AND BIOGEOGRAPHY OF THE AMAZONA OCHROCEPHALA (AVES: PSITTACIDAE) COMPLEX,Jessica R. Eberhard and Elredge Bermingham,2,1,1,0,1,0.5,1,Panama,Panama,C America,Latin America,Ornithology,Based out of LA
24,The Auk,2004,April,"SIZE DIMORPHISM, INTRASEXUAL COMPETITION, AND SEXUAL SELECTION IN WATTLED JACANA (JACANA JACANA), A SEX-ROLE-REVERSED SHOREBIRD IN PANAMA",Stephen T. Emlen and Peter H. Wrege,2,0,1,0,1,0,1,Panama,Panama,C America,Latin America,Ornithology,Based out of LA
39,The Auk,2009,July,Using Spatial Models to Predict Areas of Endemism and Gaps in the Protection of Andean Slope Birds_,"Bruce E. Young,_Irma Franke,_Pilar A. Hernandez,_Sebastian K. Herzog,_Lily Paniagua,_Carolina Tovar_and_Thomas Valqui",7,0,0,0,1,0.57,0.142857143,Peru,Peru,S America,Latin America,Ornithology,Based out of LA
31,The Auk,2003,July,A NEW SPECIES OF AMAUROSPIZA BLUE SEEDEATER FROM VENEZUELA,Miguel Lentino and Robin Restall,2,0,1,0,1,0,1,Venezuela,Venezuela,S America,Latin America,Ornithology,Based out of LA
31,The Auk,2009,July,A New Species of Spinetail (Furnariidae:_Synallaxis) From the Rêo Orinoco of Venezuela_,Steven L. Hilty_and_David Ascanio,2,0,0,0,1,0,0.5,Venezuela,Venezuela,S America,Latin America,Ornithology,Based out of LA
11,The Auk,2014,January,Feather-degrading bacteria from the plumage of Neotropical Spectacled Thrushes (Turdus nudigenis),"Carlos Verea, Juana Vitelli-Flores, Blas Dorta, Tom_s Isturiz, Alecio Sol‹rzano, Vidal Rodrêguez-Lemoine, and Carlos Bosque",7,0,1,0,1,0.143,1,Venezuela,Venezuela,S America,Latin America,Ornithology,Based out of LA
15,The Auk,2002,April,MEXICAN SPOTTED OWL (STRIX OCCIDENTALIS) POPULATION DYNAMICS: INFLUENCE OF CLIMATIC VARIATION ON SURVIVAL AND REPRODUCTION,"Mark E. Seamans, R. J. Guti_rrez, Christopher A. May",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
16,The Auk,2002,April,A ROBUST PHYLOGENY OF THE OROPENDOLAS: POLYPHYLY REVEALED BY MITOCHONDRIAL SEQUENCE DATA,J. Jordan Price and Scott M. Lanyon,2,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
17,The Auk,2002,April,GEOGRAPHIC VARIATION AND DIALECTS IN SONGS OF THE BRONZED COWBIRD (MOLOTHRUS AENEUS),Paige S. Warren,1,1,0,1,0,1,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
18,The Auk,2002,April,REDISCOVERY OF A CRYPTIC SPECIES AND DESCRIPTION OF A NEW SUBSPECIES IN THE MYRMECIZA HEMIMELAENA COMPLEX (THAMNOPHILIDAE) OF THE NEOTROPICS,"Morton L. Isler, Jos_ Alvarez Alonso, Phyllis R. Isler, Thomas Valqui, Alfredo Begazo, and Bret M. Whitney",6,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
19,The Auk,2002,April,EVOLUTION OF BREEDING SYSTEMS IN ACROCEPHALINE WARBLERS,"Bernd Leisler, Hans Winkler and Michael Wink",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
20,The Auk,2002,April,NEST-SITE REUSE PATTERNS FOR A CAVITY-NESTING BIRD COMMUNITY IN INTERIOR BRITISH COLUMBIA,"K. E H. Aitken, K. L. Wiebe and K. Martin",3,,0,,0,,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
21,The Auk,2002,April,INTROMITTENT ORGAN MORPHOLOGY AND TESTIS SIZE IN RELATION TO MATING SYSTEM IN WATERFOWL,"Christopher R. Coker, Frank McKinney, Helen Hays, Susan V. Briggs and Kimberly M. Cheng",5,0,0,1,0,0.6,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
22,The Auk,2002,April,A REMOVAL MODEL FOR ESTIMATING DETECTION PROBABILITIES FROM POINT-COUNT SURVEYS,"George L. Farnsworth, Kenneth H. Pollock, James D. Nichols, Theodore R. Simons, James E. Hines and John R. Sauer",6,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
23,The Auk,2002,April,OSMOREGULATION BY NESTLING AND ADULT AMERICAN KESTRELS (FALCO SPARVERIUS),Michele E. Lyons and David L. Goldstein,2,1,0,0,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
24,The Auk,2002,April,EXTRINSIC AND INTRINSIC SOURCES OF VARIATION IN PLASMA LIPID METABOLITES OF FREE-LIVING WESTERN SANDPIPERS (CALIDRIS MAURI),"Christopher G. Guglielmo, Patrick D. O'Hara and Tony D. Williams",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
25,The Auk,2002,April,COLONY CHOICE IN CLIFF SWALLOWS: EFFECTS OF HETEROGENEITY IN FORAGING HABITAT,"Charles R. Brown, Christine M. Sas and Mary Bomberger Brown",3,0,0,1,0,0.6667,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
26,The Auk,2002,April,ANTIPREDATION VALUE OF COLONIAL NESTING IN YELLOW-HEADED BLACKBIRDS,"Jaroslav Picman, Stanislav Pribil and Andre Isabelle",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
27,The Auk,2002,April,FORAGING DECISIONS OF SANDWICH TERNS IN THE PRESENCE OF KLEPTOPARASITISING GULLS,Eric W. M. Stienen and Alex Brenninkmeijer,2,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
28,The Auk,2002,April,SHORT- AND LONG-TERM EFFECTS OF MALE-LIKE CONCENTRATIONS OF TESTOSTERONE ON FEMALE EUROPEAN STARLINGS (STURNUS VULGARIS),"Elke De Ridder, Rianne Pinxten, Veerle Mees and Marcel Eens",4,1,0,0,0,0.75,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
29,The Auk,2002,April,DOES INCREASING DAYLENGTH CONTROL SEASONAL CHANGES IN CLUTCH SIZES OF NORTHERN PINTAILS (ANAS ACUTA)?,"Gary L. Krapu, Glen A. Sargeant and Alison E. H. Perkins",3,0,0,1,0,0.333333333,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
1,The Auk,2002,January,DIAGNOSABILITY VERSUS MEAN DIFFERENCES OF SAGE SPARROW SUBSPECIES,Michael A. Patten and Philip Unnit ,2,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
2,The Auk,2002,January,DOUBLE SAMPLING TO ESTIMATE DENSITY AND POPULATION TRENDS IN BIRDS,Jonathan Bart and Susan Earnst,2,0,0,1,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
3,The Auk,2002,January,LANDBIRD COUNTING TECHNIQUES: CURRENT PRACTICES AND AN ALTERNATIVE,"Steven S. Rosenstock, David R. Anderson, Kenneth M. Giesen, Tony Leukering, and Michael F. Carter",5,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
4,The Auk,2002,January,ENERGETIC CONSEQUENCES OF CLUTCH TEMPERATURE AND CLUTCH SIZE FOR A UNIPARENTAL INTERMITTENT INCUBATOR: THE STARLING,"J. M. Reid, G. D. Ruxton, P. Monaghan, and G. M. Hilton",4,,0,,0,,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
5,The Auk,2002,January,COMPOSITION AND GROWTH OF KING EIDER DUCKLINGS IN RELATION TO EGG SIZE,Vanessa R. Anderson and Ray T. Alisauskas,2,1,0,0,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
6,The Auk,2002,January,EFFECTS OF HARDWOOD REDUCTION ON WINTER BIRDS IN NORTHWEST FLORIDA LONGLEAF PINE SANDHILL FORESTS,"Louis Provencher, Nancy M. Gobris, Leonard A. Brennan",3,0,0,0,0,0.3334,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
7,The Auk,2002,January,SEABIRD SUPERTREES: COMBINING PARTIAL ESTIMATES OF PROCELLARIIFORM PHYLOGENY,Martyn Kennedy and Roderic D. M. Page,2,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
8,The Auk,2002,January,WOOD THRUSH MOVEMENTS AND HABITAT USE: EFFECTS OF FOREST MANAGEMENT FOR RED-COCKADED WOODPECKERS,"Jason D. Lang, Larkin A. Powell, David G. Krementz, and Michael J. Conroy",4,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
9,The Auk,2002,January,MATERNAL CONDITION AND NESTLING SEX RATIO IN HOUSE WRENS,"Linda A. Whittingham, Stacy M. Valkenaar, Nicole E. Poirier, and Peter O. Dunn",4,1,0,0,0,0.75,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
10,The Auk,2002,January,"MANAKINS (PIPRIDAE) IN SECOND-GROWTH AND OLD-GROWTH FORESTS: PATTERNS OF HABITAT USE, MOVEMENT, AND SURVIVAL",John G. Blake and Bette A. Loiselle,2,0,0,1,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
11,The Auk,2002,January,ANNUAL SURVIVAL RATES OF WINTERING SPARROWS: ASSESSING DEMOGRAPHIC CONSEQUENCES OF MIGRATION,Brett K. Sandercock and Alvaro Jaramillo,2,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
12,The Auk,2002,January,"SCALES OF FOOD AVAILABILITY FOR AN ENDANGERED INSECTIVORE, THE HAWAII AKEPA",J. Scott Fretz,1,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
13,The Auk,2002,January,IMPORTANCE OF SEED INGESTION TO AN AVIAN FRUGIVORE: AN EXPERIMENTAL APPROACH TO FRUIT CHOICE BASED ON SEED LOAD,Margaret C. Stanley and Alan Lill,2,1,0,0,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
14,The Auk,2002,January,PLASMA AMINO ACID CONCENTRATIONS AS AN INDICATOR OF PROTEIN AVAILABILITY TO BREEDING HERRING GULLS (LARUS ARGENTATUS),"Craig E. Hebert, J. Laird Shutt, Ron O. Ball",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
30,The Auk,2002,July,SYSTEMATICS OF LARGE WHITE-HEADED GULLS: PATTERNS OF MITOCHONDRIAL DNA VARIATION IN WESTERN EUROPEAN TAXA,"Pierre-Andr_ Crochet, Jean-Dominique Lebreton and François Bonhomme",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
31,The Auk,2002,July,MOLECULAR SYSTEMATICS AND THE ROLE OF THE _VçRZEAî__TERRA-FIRMEî ECOTONE IN THE DIVERSIFICATION OF XIPHORHYNCHUS WOODCREEPERS (AVES: DENDROCOLAPTIDAE),Alexandre Aleixo,1,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
32,The Auk,2002,July,SUBSPECIFIC DIFFERENTIATION AND CONSERVATION OF SONG SPARROWS (MELOSPIZA MELODIA) IN THE SAN FRANCISCO BAY REGION INFERRED BY MICROSATELLITE LOCI ANALYSIS,Yvonne Chan and Peter Arcese,2,1,0,0,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
33,The Auk,2002,July,GROUNDED GROUND BIRDS AND SURFING CANOPY BIRDS: VARIATION OF FORAGING STRATUM BREADTH OBSERVED IN NEOTROPICAL FOREST BIRDS AND TESTED WITH SIMULATION MODELS USING BOUNDARY CONSTRAINTS,Bruno A. Walther,1,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
34,The Auk,2002,July,"RELATIONSHIP AMONG BREEDING, MOLTING, AND WINTERING AREAS OF MALE BARROW'S GOLDENEYES (BUCEPHALA ISLANDICA) IN EASTERN NORTH AMERICA","Michel Robert, R_jean Benoit and Jean-Pierre L. Savard",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
35,The Auk,2002,July,EFFECTS OF THINNING AND HERBICIDE TREATMENTS ON NEST-SITE SELECTION BY SONGBIRDS IN YOUNG MANAGED FORESTS,Wendy E. Easton and Kathy Martin,2,1,0,1,0,1,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
36,The Auk,2002,July,WHAT IS A WOOD-WARBLER? MOLECULAR CHARACTERIZATION OF A MONOPHYLETIC PARULIDAE,I. J. Lovette and E. Bermingham,2,,0,,0,,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
37,The Auk,2002,July,PHYLOGENY OF THE TYRANT FLYCATCHERS (TYRANNIDAE) BASED ON MORPHOLOGY AND BEHAVIOR,Jeffrey S. Birdsley,1,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
38,The Auk,2002,July,AGE-RELATED TRENDS IN DIFFERENT ASPECTS OF THE BREEDING PERFORMANCE OF INDIVIDUAL FEMALE EURASIAN SPARROWHAWKS (ACCIPITER NISUS),Ian Newton and Peter Rothery,2,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
39,The Auk,2002,July,ESTIMATING SPECIES RICHNESS OF TROPICAL BIRD COMMUNITIES FROM RAPID ASSESSMENT DATA,"Sebastian K. Herzog, Michael Kessler and Thomas M. Cahill",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
40,The Auk,2002,July,SOCIAL AND GENETIC MONOGAMY IN TERRITORIAL AND LOOSELY COLONIAL POPULATIONS OF PHAINOPEPLA (PHAINOPEPLA NITENS),"Miyoko Chu, Walter D. Koenig, Alvaro Godinez, Carl E. McIntosh and Robert C. Fleischer",5,1,0,0,0,0.2,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
41,The Auk,2002,July,EFFECTS OF DISPERSAL ON SURVIVAL PROBABILITY OF ADULT YELLOW WARBLERS (DENDROICA PETECHIA),"Amy B. Cilimburg, Mark S. Lindberg, Joshua J. Tewksbury and Sallie J. Hejl",4,1,0,1,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
42,The Auk,2002,July,COOPERATIVELY BREEDING GROUPS OF CARRION CROW(CORVUS CORONE CORONE) IN NORTHERN SPAIN,"Vittorio Baglione, Jos_ M. Marcos and Daniela Canestrari",3,0,0,1,0,0.333333333,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
43,The Auk,2002,July,SOURCES OF EGG-SIZE VARIATION IN HOUSE WRENS (TROGLODYTES AEDON): ONTOGENETIC AND ENVIRONMENTAL COMPONENTS,"John D. Styrsky, Robert C. Dobbs and Charles F. Thompson",3,0,0,0,0,0,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
44,The Auk,2002,October,WESTERN SANDPIPERS (CALIDRIS MAURI) DURING THE NONBREEDING SEASON: SPATIAL SEGREGATION ON A HEMISPHERIC SCALE,"Silke Nebel, David B. Lank, Patrick D. O'Hara, Guillermo Fern_ndez, Ben Haase, Francisco Delgado, Felipe A. Estela, Lesley J. Evans Ogden, Brian Harrington, Barbara E. Kus, James E. Lyons, Francine Mercier, Brent Ortego, John Y. Takekawa, Nils Warnock and Sarah E. Warnock",16,1,0,1,0,0.3125,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
45,The Auk,2002,October,EPIZOOTIOLOGY AND EFFECT OF AVIAN POX ON HAWAIIAN FOREST BIRDS,"Charles van RiperIII, Sandra G. van Riper and Wallace R. Hansen",3,0,0,0,0,0.3333,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
46,The Auk,2002,October,PHYLOGENETIC ANALYSIS OF WING FEATHER TAXIS IN BIRDS: MACROEVOLUTIONARY PATTERNS OF GENETIC DRIFT?,Kimberly S. Bostwick and Matthew J. Brady,2,1,0,0,0,0.5,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
47,The Auk,2002,October,EDGE EFFECT ON NESTING SUCCESS OF GROUND NESTING BIRDS NEAR REGENERATING CLEARCUTS IN A FOREST-DOMINATED LANDSCAPE,"James C. Manolis, David E. Andersen and Francesca J. Cuthbert",3,0,0,1,0,0.333333333,0,Not in Latin America,Not in LA,Not in Latin America,Not in Latin America,Ornithology,Based out of LA
